DateTime;Quality status;Resolution code;Net regulation volume;System imbalance;Alpha;Marginal incremental price;Marginal decremental price;Strategic reserve price;Positive imbalance price;Negative imbalance price
2024-03-25T23:45:00+01:00;Not Validated;PT15M;220.711;-205.831;4.55;234.97;7.91;;239.52;239.52
2024-03-25T23:30:00+01:00;Not Validated;PT15M;225.44;-230.934;3.06;215.0;15.0;;218.06;218.06
2024-03-25T23:15:00+01:00;Not Validated;PT15M;118.994;-138.143;0.0;139.89;14.73;;139.89;139.89
2024-03-25T23:00:00+01:00;Not Validated;PT15M;56.362;-102.506;0.0;181.01;15.0;;181.01;181.01
2024-03-25T22:45:00+01:00;Not Validated;PT15M;151.145;-156.079;1.58;139.8;15.0;;141.38;141.38
2024-03-25T22:30:00+01:00;Not Validated;PT15M;104.119;-115.685;0.0;136.19;15.0;;136.19;136.19
2024-03-25T22:15:00+01:00;Not Validated;PT15M;51.676;-65.07;0.0;139.91;14.52;;139.91;139.91
2024-03-25T22:00:00+01:00;Not Validated;PT15M;73.516;-93.707;0.0;139.09;14.72;;139.09;139.09
2024-03-25T21:45:00+01:00;Not Validated;PT15M;-11.962;41.978;0.0;135.0;-276.1;;-276.1;-276.1
2024-03-25T21:30:00+01:00;Not Validated;PT15M;85.786;-90.404;0.0;135.0;-54.07;;135.0;135.0
2024-03-25T21:15:00+01:00;Not Validated;PT15M;94.226;-146.883;0.0;207.16;-37.12;;207.16;207.16
2024-03-25T21:00:00+01:00;Not Validated;PT15M;31.524;-33.914;0.0;139.92;-76.0;;139.92;139.92
2024-03-25T20:45:00+01:00;Not Validated;PT15M;-75.627;133.012;0.0;139.91;-358.04;;-358.04;-358.04
2024-03-25T20:30:00+01:00;Not Validated;PT15M;16.367;1.003;0.0;139.14;-125.37;;-125.37;-125.37
2024-03-25T20:15:00+01:00;Not Validated;PT15M;-12.382;-1.952;0.0;221.95;-320.17;;221.95;221.95
2024-03-25T20:00:00+01:00;Not Validated;PT15M;132.66;-155.443;0.75;230.45;-12.16;;231.2;231.2
2024-03-25T19:45:00+01:00;Not Validated;PT15M;51.504;-40.947;0.0;180.0;5.25;;180.0;180.0
2024-03-25T19:30:00+01:00;Not Validated;PT15M;-6.85;15.403;0.0;180.0;-157.25;;-157.25;-157.25
2024-03-25T19:15:00+01:00;Not Validated;PT15M;25.517;-33.551;0.0;377.8;15.0;;377.8;377.8
2024-03-25T19:00:00+01:00;Not Validated;PT15M;206.206;-260.137;0.0;415.19;-675.79;;415.19;415.19
2024-03-25T18:45:00+01:00;Not Validated;PT15M;220.51;-349.472;21.47;265.34;10.0;;286.82;286.82
2024-03-25T18:30:00+01:00;Not Validated;PT15M;204.96;-334.447;3.82;259.77;10.0;;263.59;263.59
2024-03-25T18:15:00+01:00;Not Validated;PT15M;62.274;-100.675;0.0;188.32;10.0;;188.32;188.32
2024-03-25T18:00:00+01:00;Not Validated;PT15M;23.43;-21.596;0.0;145.56;9.87;;145.56;145.56
2024-03-25T17:45:00+01:00;Not Validated;PT15M;75.443;-87.808;0.0;204.02;-691.03;;204.02;204.02
2024-03-25T17:30:00+01:00;Not Validated;PT15M;105.977;-147.669;0.0;143.21;15.0;;143.21;143.21
2024-03-25T17:15:00+01:00;Not Validated;PT15M;28.13;-45.046;0.0;139.89;14.6;;139.89;139.89
2024-03-25T17:00:00+01:00;Not Validated;PT15M;-28.348;35.336;0.0;139.51;-377.5;;-377.5;-377.5
2024-03-25T16:45:00+01:00;Not Validated;PT15M;110.9;-123.999;0.0;139.91;9.99;;139.91;139.91
2024-03-25T16:30:00+01:00;Not Validated;PT15M;39.429;-40.011;0.0;139.52;9.67;;139.52;139.52
2024-03-25T16:15:00+01:00;Not Validated;PT15M;30.049;-41.61;0.0;135.71;2.47;;135.71;135.71
2024-03-25T16:00:00+01:00;Not Validated;PT15M;-0.277;-4.317;0.0;135.32;-127.71;;135.32;135.32
2024-03-25T15:45:00+01:00;Not Validated;PT15M;36.385;-43.859;0.0;134.09;-111.35;;134.09;134.09
2024-03-25T15:30:00+01:00;Not Validated;PT15M;-44.783;43.635;0.0;124.1;-241.09;;-241.09;-241.09
2024-03-25T15:15:00+01:00;Not Validated;PT15M;-41.614;37.381;0.0;128.47;-123.39;;-123.39;-123.39
2024-03-25T15:00:00+01:00;Not Validated;PT15M;-105.518;121.096;0.0;119.51;-254.31;;-254.31;-254.31
2024-03-25T14:45:00+01:00;Not Validated;PT15M;-119.447;115.142;0.0;121.22;-175.0;;-175.0;-175.0
2024-03-25T14:30:00+01:00;Not Validated;PT15M;-275.164;275.528;0.0;130.82;-560.62;;-560.62;-560.62
2024-03-25T14:15:00+01:00;Not Validated;PT15M;-157.91;217.765;0.0;94.0;-535.97;;-535.97;-535.97
2024-03-25T14:00:00+01:00;Not Validated;PT15M;-64.226;99.668;0.0;131.01;-430.33;;-430.33;-430.33
2024-03-25T13:45:00+01:00;Not Validated;PT15M;19.694;3.19;0.0;128.46;-435.29;;-435.29;-435.29
2024-03-25T13:30:00+01:00;Not Validated;PT15M;9.688;-11.06;0.0;128.36;-161.55;;128.36;128.36
2024-03-25T13:15:00+01:00;Not Validated;PT15M;17.828;-16.937;0.0;122.35;10.0;;122.35;122.35
2024-03-25T13:00:00+01:00;Not Validated;PT15M;113.242;-111.108;0.0;122.29;10.0;;122.29;122.29
2024-03-25T12:45:00+01:00;Not Validated;PT15M;2.674;-6.138;0.0;117.82;-85.0;;117.82;117.82
2024-03-25T12:30:00+01:00;Not Validated;PT15M;-208.364;237.613;0.0;130.39;-427.28;;-427.28;-427.28
2024-03-25T12:15:00+01:00;Not Validated;PT15M;-182.219;176.732;0.0;122.02;-300.0;;-300.0;-300.0
2024-03-25T12:00:00+01:00;Not Validated;PT15M;-300.953;279.851;0.0;129.82;-528.36;;-528.36;-528.36
2024-03-25T11:45:00+01:00;Not Validated;PT15M;-443.144;490.115;0.0;94.0;-428.31;;-428.31;-428.31
2024-03-25T11:30:00+01:00;Not Validated;PT15M;-383.119;414.269;0.0;101.91;-474.04;;-474.04;-474.04
2024-03-25T11:15:00+01:00;Not Validated;PT15M;-343.963;547.789;0.0;94.0;-485.94;;-485.94;-485.94
2024-03-25T11:00:00+01:00;Not Validated;PT15M;-205.169;221.6;0.0;122.39;-226.72;;-226.72;-226.72
2024-03-25T10:45:00+01:00;Not Validated;PT15M;-257.076;266.77;0.0;125.54;-332.29;;-332.29;-332.29
2024-03-25T10:30:00+01:00;Not Validated;PT15M;-4.811;5.842;0.0;129.8;-392.05;;-392.05;-392.05
2024-03-25T10:15:00+01:00;Not Validated;PT15M;-210.02;217.998;1.33;127.73;-95.15;;-96.48;-96.48
